85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,id,classification
0.107,0.056,0.069,0.069,0.078,0.04,0.018,0.063,0.069,0.054,0.072,0.02,0.049,0.047,0.056,0.056,0.0759,RIX_Gr_EU103440.1_10195,1.4
0.08,0.04,0.064,0.073,0.061,0.042,0.015,0.069,0.067,0.039,0.054,0.047,0.051,0.066,0.073,0.084,0.0759,PRSiTERT00300001,1.4
0.096,0.047,0.049,0.076,0.065,0.036,0.022,0.091,0.069,0.053,0.036,0.031,0.04,0.078,0.082,0.053,0.0766,PRSiTERT00300006,1.4
0.033,0.033,0.05,0.042,0.043,0.063,0.056,0.093,0.061,0.067,0.072,0.054,0.022,0.091,0.076,0.065,0.0784,ZRSiTERT00300001,1.4
0.088,0.05,0.072,0.054,0.069,0.05,0.034,0.066,0.066,0.062,0.065,0.032,0.042,0.056,0.054,0.063,0.0769,ZRSiTERT00300004,1.4
0.078,0.047,0.069,0.087,0.073,0.029,0.014,0.06,0.077,0.03,0.038,0.046,0.054,0.068,0.07,0.085,0.0751,ZRSiTERT00300005,1.4
0.08,0.05,0.053,0.059,0.068,0.056,0.026,0.083,0.056,0.05,0.042,0.04,0.038,0.077,0.067,0.08,0.0757,ZRSiTERT00300006,1.4
0.062,0.032,0.065,0.067,0.044,0.025,0.03,0.064,0.072,0.054,0.062,0.054,0.049,0.054,0.082,0.106,0.0783,RIX_Ge_EU103602.1_10357,1.4
0.059,0.047,0.041,0.08,0.057,0.045,0.034,0.058,0.048,0.045,0.046,0.058,0.063,0.057,0.076,0.105,0.0807,RIX_Gr_EU103439.1_10194,1.4
0.088,0.032,0.047,0.064,0.042,0.052,0.029,0.057,0.039,0.049,0.071,0.071,0.061,0.047,0.084,0.088,0.0788,RIX_Ge_EU103596.1_10351,1.4
0.066,0.043,0.051,0.074,0.072,0.07,0.006,0.081,0.042,0.032,0.026,0.052,0.054,0.085,0.068,0.101,0.0757,RIX_Gh_HM626965.1_10507,1.4
0.106,0.031,0.094,0.074,0.049,0.013,0.011,0.031,0.081,0.027,0.108,0.063,0.072,0.034,0.065,0.067,0.0728,RIX_unnamedfam40_3B_033_P03-1,1.4
0.052,0.025,0.056,0.052,0.045,0.027,0.013,0.079,0.047,0.049,0.081,0.079,0.043,0.061,0.106,0.108,0.0782,RIX_unnamedfam59_3B_033_P03-1,1.4
0.05,0.032,0.054,0.057,0.059,0.041,0.023,0.072,0.05,0.041,0.077,0.068,0.036,0.079,0.081,0.109,0.0729,RIX_unnamedfam18_3B_033_P03-1,1.4
0.073,0.039,0.091,0.046,0.052,0.04,0.038,0.04,0.075,0.05,0.087,0.073,0.049,0.042,0.068,0.059,0.0776,RIX_unnamedfam7_3B_033_P03-1,1.4
0.076,0.036,0.07,0.06,0.064,0.049,0.008,0.073,0.058,0.05,0.067,0.044,0.044,0.059,0.075,0.093,0.0745,RIX_unnamedfam21_3B_033_P03-1,1.4
0.085,0.046,0.089,0.075,0.058,0.032,0.021,0.04,0.098,0.035,0.063,0.049,0.054,0.038,0.071,0.072,0.0762,RIX_unnamedfam44_3B_052_B06-1,1.4
0.108,0.047,0.069,0.096,0.069,0.007,0.01,0.032,0.074,0.034,0.066,0.049,0.069,0.032,0.079,0.081,0.0784,RIX_unnamedfam48_3B_052_B06-1,1.4
0.091,0.037,0.057,0.061,0.047,0.029,0.025,0.071,0.044,0.042,0.066,0.069,0.064,0.064,0.074,0.081,0.0782,RIX_Karin_3B_052_B06-1,1.4
0.081,0.022,0.039,0.096,0.042,0.025,0.032,0.039,0.057,0.039,0.064,0.066,0.059,0.049,0.094,0.118,0.0769,RIX_unnamedfam54_3B_066_H03-1,1.4
0.076,0.025,0.056,0.083,0.044,0.012,0.032,0.042,0.061,0.037,0.069,0.071,0.059,0.054,0.081,0.12,0.0778,RIX_unnamedfam93_3B_088_K04-1,1.4
