attr2888,attr2889,attr2890,attr2891,attr2892,attr2893,attr2894,attr2895,attr2896,attr2897,attr2898,attr2899,id,classification
-0.257,0.259,0.516,0.6409999999999999,0.575,0.514,0.514,0.23,0.263,-0.004,-0.004,0.5710000000000001,RIX_Gr_EU103440.1_10195,1.2
-0.267,0.205,0.386,0.495,0.41100000000000003,0.385,0.385,0.132,0.205,-0.075,-0.075,0.40700000000000003,PRSiTERT00300001,1.2
-0.24600000000000002,0.23800000000000002,0.42,0.506,0.48100000000000004,0.419,0.419,0.11800000000000001,0.239,-0.129,-0.129,0.48,PRSiTERT00300006,1.2
-0.203,0.03,0.154,0.491,0.317,0.154,0.154,0.012,0.027999999999999997,-0.10099999999999999,-0.10099999999999999,0.314,ZRSiTERT00300001,1.2
-0.233,0.152,0.386,0.631,0.5429999999999999,0.384,0.384,0.11599999999999999,0.153,-0.011000000000000001,-0.011000000000000001,0.5379999999999999,ZRSiTERT00300004,1.2
-0.253,0.251,0.413,0.45299999999999996,0.43200000000000005,0.41200000000000003,0.41200000000000003,0.066,0.251,-0.14800000000000002,-0.14800000000000002,0.43,ZRSiTERT00300005,1.2
-0.235,0.182,0.41,0.555,0.46799999999999997,0.408,0.408,0.136,0.184,-0.078,-0.078,0.46399999999999997,ZRSiTERT00300006,1.2
-0.2,0.17300000000000001,0.413,0.612,0.545,0.41100000000000003,0.41100000000000003,0.034,0.17300000000000001,-0.024,-0.024,0.542,RIX_Ge_EU103602.1_10357,1.2
-0.386,0.305,0.555,0.696,0.615,0.555,0.555,0.154,0.306,0.016,0.016,0.611,RIX_Gr_EU103439.1_10194,1.2
-0.28800000000000003,0.20199999999999999,0.509,0.779,0.679,0.506,0.506,0.17,0.205,0.081,0.081,0.6729999999999999,RIX_Ge_EU103596.1_10351,1.2
-0.35600000000000004,0.16899999999999998,0.37799999999999995,0.48200000000000004,0.413,0.377,0.377,0.09300000000000001,0.17,-0.10099999999999999,-0.10099999999999999,0.408,RIX_Gh_HM626965.1_10507,1.2
-0.267,0.225,0.485,0.698,0.53,0.484,0.484,0.18100000000000002,0.22899999999999998,-0.001,-0.001,0.524,RIX_unnamedfam40_3B_033_P03-1,1.2
-0.179,0.154,0.405,0.514,0.46399999999999997,0.40299999999999997,0.40299999999999997,0.139,0.158,-0.086,-0.086,0.45899999999999996,RIX_unnamedfam59_3B_033_P03-1,1.2
-0.23199999999999998,0.111,0.33799999999999997,0.642,0.514,0.335,0.335,0.017,0.11199999999999999,-0.07400000000000001,-0.07400000000000001,0.509,RIX_unnamedfam18_3B_033_P03-1,1.2
-0.231,0.11800000000000001,0.3,0.5670000000000001,0.42700000000000005,0.299,0.299,0.10300000000000001,0.11900000000000001,-0.04,-0.04,0.42200000000000004,RIX_unnamedfam7_3B_033_P03-1,1.2
-0.218,0.188,0.431,0.586,0.505,0.43,0.43,0.13699999999999998,0.19,-0.047,-0.047,0.5,RIX_unnamedfam21_3B_033_P03-1,1.2
-0.228,0.147,0.318,0.49200000000000005,0.41,0.316,0.316,0.039,0.146,-0.08,-0.08,0.406,RIX_unnamedfam44_3B_052_B06-1,1.2
-0.314,0.298,0.473,0.502,0.401,0.473,0.473,0.057,0.299,-0.036000000000000004,-0.036000000000000004,0.395,RIX_unnamedfam48_3B_052_B06-1,1.2
-0.24600000000000002,0.126,0.384,0.599,0.575,0.382,0.382,0.114,0.128,-0.023,-0.023,0.57,RIX_Karin_3B_052_B06-1,1.2
-0.332,0.307,0.514,0.7290000000000001,0.5770000000000001,0.513,0.513,0.08900000000000001,0.306,0.07,0.07,0.5710000000000001,RIX_unnamedfam54_3B_066_H03-1,1.2
-0.308,0.239,0.418,0.644,0.518,0.41700000000000004,0.41700000000000004,0.062,0.23800000000000002,0.011000000000000001,0.011000000000000001,0.513,RIX_unnamedfam93_3B_088_K04-1,1.2
-0.48,0.423,0.731,0.637,0.7170000000000001,0.73,0.73,0.25,0.426,0.001,0.001,0.7120000000000001,RIX_unnamedfam67_3B_113_B03-1,1.2
-0.271,0.29,0.531,0.5489999999999999,0.555,0.53,0.53,0.19899999999999998,0.292,-0.08900000000000001,-0.08900000000000001,0.55,RIX_unnamedfam83_3B_097_O05-1,1.2
-0.25,0.29600000000000004,0.47700000000000004,0.5589999999999999,0.508,0.47600000000000003,0.47600000000000003,0.131,0.29600000000000004,-0.035,-0.035,0.504,RIX_unnamedfam3_3B_021_B08-1,1.2
-0.249,0.156,0.361,0.61,0.47,0.36,0.36,0.07200000000000001,0.156,-0.025,-0.025,0.466,RIX_unnamedfam17_3B_049_M03-1,1.2
-0.252,-0.055999999999999994,0.045,0.466,0.25,0.045,0.045,-0.006999999999999999,-0.057999999999999996,-0.10099999999999999,-0.10099999999999999,0.249,RIX_unnamedfam17_3B_049_M03-2,1.2
-0.44799999999999995,0.222,0.7170000000000001,0.828,0.997,0.713,0.713,0.52,0.22699999999999998,0.113,0.113,0.993,RIX_unnamedfam42_3B_053_M17-1,1.2
-0.196,0.094,0.34,0.6729999999999999,0.516,0.33799999999999997,0.33799999999999997,0.076,0.095,0.013000000000000001,0.013000000000000001,0.511,RIX_unnamedfam9_3B_078_G10-1,1.2
-0.183,0.092,0.28600000000000003,0.605,0.41200000000000003,0.284,0.284,0.057,0.092,-0.038,-0.038,0.409,RIX_unnamedfam30_3B_078_G10-1,1.2
-0.218,0.174,0.518,0.7440000000000001,0.6459999999999999,0.516,0.516,0.174,0.175,0.151,0.151,0.6409999999999999,RIX_unnamedfam23_3B_013_G07-1,1.2
-0.249,0.16399999999999998,0.418,0.642,0.541,0.41700000000000004,0.41700000000000004,0.085,0.165,0.002,0.002,0.537,RIX_unnamedfam10_3B_023_N15-1,1.2
-0.317,0.134,0.442,0.8079999999999999,0.612,0.44,0.44,0.122,0.135,0.073,0.073,0.608,RIX_unnamedfam25_3B_023_N15-1,1.2
-0.249,0.015,0.16,0.498,0.316,0.16,0.16,0.002,0.013999999999999999,-0.076,-0.076,0.313,RIX_unnamedfam84_3B_023_N15-1,1.2
-0.215,0.301,0.601,0.5820000000000001,0.52,0.599,0.599,0.18600000000000003,0.306,0.017,0.017,0.514,RIX_Karin_3B_072_J16-1,1.2
-0.23800000000000002,0.345,0.617,0.522,0.534,0.616,0.616,0.19,0.348,-0.099,-0.099,0.529,RIX_unnamedfam5_3B_097_H10-1,1.2
-0.247,0.128,0.381,0.595,0.521,0.379,0.379,0.053,0.13,-0.026000000000000002,-0.026000000000000002,0.517,RIX_unnamedfam95_3B_082_K20-1,1.2
-0.263,0.005,0.153,0.561,0.342,0.152,0.152,0.044000000000000004,0.004,-0.028999999999999998,-0.028999999999999998,0.34,RIX_unnamedfam14_3B_082_K20-1,1.2
-0.305,0.19399999999999998,0.457,0.555,0.503,0.456,0.456,0.113,0.195,-0.033,-0.033,0.499,RIX_unnamedfam10_3B_082_K20-1,1.2
-0.28800000000000003,0.213,0.47200000000000003,0.551,0.516,0.47,0.47,0.12,0.214,-0.04,-0.04,0.511,RIX_unnamedfam6_3B_030_O03-1,1.2
-0.36200000000000004,0.268,0.555,1.266,0.77,0.5529999999999999,0.5529999999999999,0.11900000000000001,0.268,0.35,0.35,0.765,RIX_unnamedfam108_3B_040_D16-1,1.2
-0.337,0.17300000000000001,0.364,0.519,0.449,0.363,0.363,0.11199999999999999,0.17300000000000001,-0.081,-0.081,0.445,RIX_unnamedfam106_3B_040_D16-1,1.2
-0.302,0.537,0.935,0.705,0.74,0.935,0.935,0.581,0.547,0.075,0.075,0.732,RIX_unnamedfam104_3B_040_D16-1,1.2
-0.261,0.124,0.391,0.63,0.519,0.39,0.39,0.135,0.125,0.006,0.006,0.515,RIX_unnamedfam111_3B_115_C24-1,1.2
-0.325,0.158,0.455,0.743,0.6459999999999999,0.45399999999999996,0.45399999999999996,0.154,0.161,0.006999999999999999,0.006999999999999999,0.642,RIX_unnamedfam102_3B_115_C24-1,1.2
-0.37200000000000005,0.7170000000000001,0.966,0.377,0.7140000000000001,0.9640000000000001,0.9640000000000001,0.594,0.727,-0.182,-0.182,0.7120000000000001,RIX_unnamedfam103_3B_001_C11-1,1.2
-0.257,0.11,0.317,0.5539999999999999,0.451,0.316,0.316,0.086,0.11,-0.062,-0.062,0.44799999999999995,RIX_unnamedfam112_3B_001_C11-1,1.2
-0.253,0.19399999999999998,0.42700000000000005,0.529,0.48100000000000004,0.426,0.426,0.13,0.195,-0.062,-0.062,0.47700000000000004,RIX_Stasy_3B_001_C11-1,1.2
-0.253,0.228,0.462,0.61,0.535,0.461,0.461,0.11900000000000001,0.22899999999999998,-0.021,-0.021,0.531,RIX_unnamedfam107_3B_109_N19-1,1.2
-0.43,0.225,0.419,1.079,0.727,0.41700000000000004,0.41700000000000004,-0.048,0.22,0.249,0.249,0.725,RIX_unnamedfam105_3B_002_C20-1,1.2
